Name,Bed_type,ustar_m_s,C_o_mg_L,Q_cms,H_cm,U_m_s,Zstar,S,Restar,ustar_m_s,ustar_m_s,ustar_m_s,ustar_m_s
A:LS:LC,Acrylic,0.011,97,0.0036,4.6,0.17,0.022,0.07,-,0.013,0.015,0.017,0.018
A:MS:LC,Acrylic,0.015,83,0.0092,6.8,0.29,0.016,0.19,-,0.015,-,0.018,-
A:HS:LC,Acrylic,0.017,83,0.0140,9.1,0.34,0.014,0.27,-,,-,-,-
A:LS:MC,Acrylic,0.011,187,0.0038,4.7,0.18,0.022,0.07,-,0.013,0.015,0.017,0.018
A:MS:MC,Acrylic,0.015,194,0.0086,6.8,0.28,0.016,0.19,-,0.017,0.018,0.021,-
A:HS:MC,Acrylic,0.018,176,0.0140,9.0,0.34,0.013,0.33,-,0.019,-,-,-
A:LS:HC,Acrylic,0.011,381,0.0038,4.7,0.18,0.022,0.07,-,0.013,0.015,0.017,0.018
A:MS:HC,Acrylic,0.015,372,0.0070,6.5,0.24,0.016,0.19,-,0.017,0.018,-,-
A:HS:HC,Acrylic,0.018,399,0.0120,8.5,0.31,0.013,0.33,-,0.019,-,-,-
G:LS:LC,Gravel,0.019,83,0.0024,3.9,0.13,0.013,0.40,71,0.021,0.022,0.023,0.024
G:MS:LC,Gravel,0.022,78,0.0077,5.9,0.28,0.011,0.60,81,0.024,0.024,0.026,-
G:HS:LC,Gravel,0.024,82,0.0110,7.3,0.33,0.010,0.78,89,0.026,-,-,-
G:VHS:LC,Gravel,0.027,81,0.0162,9.2,0.39,0.009,1.06,98,-,-,-,-
G:LS:MC,Gravel,0.019,182,0.0024,3.9,0.13,0.013,0.40,71,0.021,0.022,0.024,0.024
G:MS:MC,Gravel,0.022,177,0.0077,5.9,0.28,0.011,0.60,81,0.023,0.024,-,-
G:HS:MC,Gravel,0.024,161,0.0110,7.3,0.33,0.010,0.78,89,0.025,-,-,-
G:VHS:MC,Gravel,0.027,180,0.0162,9.1,0.39,0.009,1.06,98,-,-,-,-
G:LS:HC,Gravel,0.019,364,0.0022,3.8,0.13,0.013,0.39,70,0.021,0.022,0.023,0.024
G:MS:HC,Gravel,0.024,356,0.0110,7.2,0.33,0.010,0.76,88,0.025,-,-,-
G:VHS:HC*,Gravel,0.035,366,0.0055,5.0,0.24,0.007,2.29,127,0.022,-,-,-
G:VHS:HC,Gravel,0.027,349,0.0162,9.1,0.39,0.009,1.06,98,-,-,-,-
SG:LS:LC,Sand-Gravel,0.020,82,0.0025,4.4,0.12,0.012,0.42,72,0.025,0.027,0.028,0.028
SG:MS:LC,Sand-Gravel,0.022,84,0.0057,6.0,0.21,0.011,0.61,82,0.028,0.029,0.031,-
SG:HS:LC,Sand-Gravel,0.024,81,0.0083,7.0,0.26,0.010,0.76,88,0.031,-,-,-
SG:VHS:LC,Sand-Gravel,0.027,78,0.0119,9.1,0.29,0.009,1.15,101,-,-,-,-
SG:LS:MC,Sand-Gravel,0.020,177,0.0017,4.4,0.08,0.012,0.43,73,0.025,0.027,0.028,0.029
SG:MS:MC,Sand-Gravel,0.022,180,0.0049,6.0,0.18,0.011,0.60,81,0.028,0.029,0.031,-
SG:HS:MC,Sand-Gravel,0.024,178,0.0075,7.0,0.23,0.010,0.76,88,0.031,-,-,-
SG:VHS:MC,Sand-Gravel,0.027,178,0.0119,9.1,0.29,0.009,1.15,101,-,-,-,-
SG:LS:HC,Sand-Gravel,0.020,358,0.0028,4.4,0.14,0.012,0.42,72,0.025,0.027,0.028,0.029
SG:MS:HC,Sand-Gravel,0.022,351,0.0049,6.0,0.18,0.011,0.61,82,0.028,0.029,0.031,-
SG:HS:HC,Sand-Gravel,0.024,355,0.0075,7.0,0.23,0.010,0.76,88,0.031,-,-,-
SG:VHS:HC,Sand-Gravel,0.027,354,0.0119,9.1,0.29,0.009,1.15,101,-,-,-,-
