Name,ustar_m_s,C_o_mg_L,alpha1,R^2
A:LS:LC,0.011,97,0.073,0.96
A:MS:LC,0.015,83,0.049,0.82
A:HS:LC,0.017,83,0.000,0.86
A:LS:MC,0.011,187,0.091,0.87
A:MS:MC,0.015,194,0.000,0.93
A:HS:MC,0.018,176,0.000,0.87
A:LS:HC,0.011,381,0.100,0.75
A:MS:HC,0.015,372,0.029,0.83
A:HS:HC,0.018,399,0.003,0.81
G:LS:LC,0.019,83,0.656,0.98
G:MS:LC,0.022,78,0.795,0.98
G:HS:LC,0.024,82,0.744,0.99
G:VHS:LC,0.027,81,0.789,0.99
G:LS:MC,0.019,182,0.537,0.98
G:MS:MC,0.022,177,0.696,0.98
G:HS:MC,0.024,161,0.807,0.99
G:VHS:MC,0.027,180,0.661,1.00
G:LS:HC,0.019,364,0.513,0.98
G:MS:HC,0.024,356,0.759,0.99
G:VHS:HC*,0.035,366,0.718,0.99
G:VHS:HC,0.027,349,0.744,1.00
SG:LS:LC,0.020,82,0.292,0.99
SG:MS:LC,0.022,84,0.338,0.99
SG:HS:LC,0.024,81,0.335,0.99
SG:VHS:LC,0.027,78,0.272,0.99
SG:LS:MC,0.020,177,0.297,0.99
SG:MS:MC,0.022,180,0.261,0.99
SG:HS:MC,0.024,178,0.293,0.99
SG:VHS:MC,0.027,178,0.248,0.99
SG:LS:HC,0.020,358,0.235,0.99
SG:MS:HC,0.022,351,0.220,0.99
SG:HS:HC,0.024,355,0.270,0.98
SG:VHS:HC,0.027,354,0.252,0.99
