A:LS:LC,A:LS:MC,A:MS:MC,A:HS:MC,A:LS:HC,A:HS:HC,A:MS:HC,A:MS:LC,A:HS:LC
102.315,191.345,196.815,180.99,393.36,408.11,383.665,83.565,85.235
99.12,192.02,196.56,175.825,399.11,404.825,378.035,85.745,85.065
101.155,189.775,197.23,174.27,399.47,402.8,377.33,83.96,83.32
99.695,192.08,190.615,177.705,395.94,396.795,372.415,83.36,83.735
98.715,189.06,194.52,176.9,382.49,394.35,375.57,83.475,82.745
96.89,183.645,193.095,174.715,377.46,404.505,371.675,82.2,82.755
95.195,188.135,194.97,177.55,381.74,401.755,376.96,82.19,84.91
97.74,187.005,194.56,176.09,380.825,398.51,364.49,83.155,81.555
96.82,187.67,191.72,175.855,381.075,397.625,369.695,82.095,82.265
95.985,185.685,192.335,176.78,363.825,405.455,379.455,82.46,83.38
97.26,188.49,195.095,174.96,378.39,396.515,367.69,81.32,83.395
97.715,187.89,192.455,173.545,373.67,389.54,370.97,81.35,82.45
95.73,186.61,195.55,171.08,371.09,395.58,373.9,81.105,81.425
93.78,187.425,192.645,175.11,365.625,395.38,367.26,81.335,81.79
94.55,180.74,191.64,178.78,371.27,399.655,365.235,79.92,82.485
93.73,179.93,190.085,174.91,360.59,390.815,366.215,81.52,81.82
94.565,179.84,191.56,175.625,369.51,394.025,359.765,79.43,81.615
95.405,178.175,192.2,174.375,369.995,393.33,359.56,80.745,80.755
95.205,184.765,197.475,176.015,363,396.4,364.325,81.045,81.28
93.08,184.37,192.515,174.53,362.595,398.66,366.595,78.55,82.215
93.66,180.175,191.06,174.365,363.595,394.77,363.6,80.53,84.615
91.36,177.83,196.105,172.075,365.82,389.55,359.8,78.325,81.495
93.9,178.79,189.325,172.835,367.95,393.305,363.08,79.17,80.84
94.07,185.895,191.77,170.675,368.235,390.2,362.375,79.86,82.445
91.83,184.015,191.705,177.7,360.46,396.08,367.655,76.87,82.455
92.17,183.32,193.135,176.325,358.215,390.55,363.905,79.405,81.32
94.28,181.15,191.395,172.37,354.28,393.215,365.185,78.695,83.92
92.755,180.905,194.85,174.28,361.245,400.665,362.58,79.495,82.21
92.65,179.715,191.625,175.465,365.295,391.89,363.835,80.44,83.1
91.865,178.055,192.21,173.76,360.955,397.02,360.415,78.765,82.72
91.35,182.48,190.215,177.25,352.715,391.2,362.105,78.285,80.96
92.345,176.75,190.975,173.595,352.43,383.575,364.62,81.115,81.905
92.35,176.065,190.085,171.88,355.14,389.12,363.015,79.22,81.2
91.73,174.945,199.325,175.55,363.09,391.57,361.79,77.89,81.735
92.275,178.175,191.41,172.785,352.985,384.945,359.71,79.195,82.32
93.005,179.84,192.31,174.31,354.07,399.14,360.305,79.43,80.685
91.155,176.38,193.705,172.72,359.19,398.075,360.595,78.135,83.09
90.305,176.015,191.895,175.175,357.385,389.96,357.24,77.91,79.995
90.7,179.82,189.405,175.145,367.195,390.115,361.99,80.815,80.08
91.36,179.62,191.86,175.12,357.13,391.085,356.515,78.735,80.675
91.22,178.605,187.11,172.88,350.39,398.355,354.49,77.345,80.98
90.965,175.455,190.33,173.71,355.25,395.105,356.535,79.265,83.04
91.315,173.075,191.775,174.355,345.805,390.58,358.44,77.775,83.25
92.74,174.615,190.945,173.32,347.745,392.61,360.47,78.25,81.98
89.945,178.55,188.575,171.21,358.025,394.61,357.595,77.415,81.665
