G:LS:LC,G:MS:LC,G:HS:LC,G:LS:MC,G:MS:MC,G:HS:MC,G:LS:HC,G:MS:HC,G:VHS:HC*,G:VHS:LC,G:VHS:MC,G:VHS:HC
94.69615419,89.534299,89.23,197.555,193.62,181.35,402.445,405.795,403.65,87.34,189.37,369.65
85.64212072,82.38784453,85.525,194.205,184.705,170.945,388.945,372.77,386.71,87.165,185.425,367.635
82.51660384,84.14966895,84.33,185.4,188.1,167.47,372.585,374.875,383.22,85.32,184.815,357.24
86.0643794,80.41070294,84.46,187.255,180.585,165.225,373.22,366.475,376.07,84.15,182.045,355.365
85.30908181,80.2794274,82.29,184.625,178.23,162.395,363.98,364.025,369.41,84.475,182.01,353.04
82.71703663,78.91502366,84.505,186.455,178.79,163.18,355.785,360.255,370.775,80.75,185.25,351.06
84.32093831,80.08183723,82.645,182.87,180.81,161.575,373.875,353.34,365.865,81.07,177.45,346.69
81.69917476,76.48256509,80.745,180.46,177.295,160.93,359.54,350.77,362.335,80.105,176.705,351.575
80.73555165,76.12438176,79.845,177.935,170.9,157.285,366.135,349.87,362.01,80.905,176.83,344.805
78.28413171,76.12022795,79.65,178.04,172.12,158.64,351.14,336.715,353.325,80.38,172.11,336.535
79.15170037,78.80666604,79.945,175.365,171.205,157.34,335,340.77,353.875,77.99,175.475,339.58
79.12631867,76.19451447,80.58,177.415,171.165,157.35,338.72,343.39,349.495,78.105,173.275,336.485
80.61829613,75.56849521,78.81,175.63,171.015,156.175,340.68,344.105,349.93,78.735,170.1,337.46
79.21119695,73.17225458,79.23,171.085,170.825,153.89,337.635,346.9,340.925,77.075,172.5,336.98
80.54445577,73.86167161,76.87,171.085,170.335,153.775,341.88,329.465,344.015,76.91,166.13,330.375
78.00410892,74.03064147,76.825,172.06,169.075,152.88,336.99,335.02,345.5,77.085,172.92,330.27
73.08753891,72.10702687,78.655,172.91,165.885,150.58,346.105,334.17,340.085,76.785,168.675,325.21
75.73419237,73.02906042,77.82,173.93,169.59,145.655,332.705,322.63,340.615,75.155,169.69,327.82
76.8451172,72.52393359,76.67,172.18,166.085,148.18,341.14,323.375,337.33,75.565,164.29,321.245
75.16933694,71.92901847,74.255,165.065,161.945,148.49,338.735,327.685,335.67,75.845,164.485,322.73
73.96802658,69.49384979,72.785,164.145,163.765,145.77,329.345,322.78,335.69,74.205,166.295,313.055
75.4368967,72.74111655,74.61,166.77,160.125,147.935,326.9,318.74,328.825,73.49,167.51,318.565
74.79839291,71.11930147,76.04,166.245,160.405,146.645,314.685,319.08,326.875,72.57,165.03,310.93
71.31382276,71.39887423,74.335,168.11,156.385,146.745,333.975,315.62,328.51,72.26,162.46,314.195
73.32252472,69.10907599,72.785,166.355,162.65,150.58,327.675,320.61,324.48,72.545,161.99,317.385
75.49899202,69.33339157,73.945,160.815,163.59,146.055,325.08,315.455,326.555,72.235,163.24,313.53
75.49809961,67.97665247,72.93,166.49,160.67,147.505,321.115,309.575,334.595,74.145,159.425,304.135
74.39027282,67.26278408,70.96,165.105,157.305,144.645,328.935,309.48,322.94,71.245,159.69,304.66
74.42027763,67.42059972,72.35,159.125,157.325,140.385,325.125,313.36,316.725,69.585,156.575,303.91
74.47750703,68.88220667,72.61,165.135,157.825,139.83,316.15,309.035,323.515,72.78,157.6,310.46
73.77327509,66.08687818,73.32,161.995,155.865,141.805,324.685,311.53,320.985,71.2,158.535,304.2
71.20153613,66.80135419,71.415,163.775,153.775,140.005,317.82,310.175,313.165,69.82,156.61,297.64
71.06322663,67.24746094,71.09,161.045,152.79,138.02,311.03,312.585,315.255,70.68,154.735,305.575
71.14593774,67.68248464,70.155,157.66,155.775,136.03,312.35,306.7,305.905,69.225,157.215,301.595
71.99089979,67.28821468,69.425,160.78,156.01,134.29,308.74,305.83,310.26,71.11,155.205,295.97
72.74546388,66.57060916,70.565,154.205,154.625,136.98,307.345,298.97,311.125,71.605,153.865,296.91
70.59534393,64.14671928,67.23,157.42,153.445,136.82,312.215,309.2,312.465,69.635,151.44,296.74
69.94292323,65.58743417,68.745,155.545,149.165,136.375,311.45,303.445,301.965,68.96,149.775,295.515
70.43708124,64.64160837,68.44,159.93,150.99,135.465,310.875,301.705,299.57,68.075,151.895,291.52
69.78899197,64.24654592,68.175,162.79,147.55,136.065,321.03,297.34,305.43,68.49,153.725,298.165
70.40192624,64.15804587,69.875,153.52,149.76,135.805,311.72,295.935,306.025,67.37,155.67,289.08
66.39821494,65.04408037,70.41,156.36,151.985,134.43,318.075,297.955,305.275,66.84,152.27,290.07
69.29987285,62.9717823,68.05,159.905,148.415,134.42,307.675,291.635,301.255,67.705,149.435,284.24
67.47877256,64.12927005,68.22,151.365,151.16,131.945,305.05,301.98,299.17,66.74,152.205,282.545
65.52232354,63.11889391,68.575,153.535,153.81,134.275,306.455,290.92,300.615,65.64,150.88,283.01
67.19116611,63.21813974,67.845,150.18,148.21,133.88,303.25,291.45,301,66.385,151.94,282.135
