SG:HS:LC,SG:LS:LC,SG:MS:LC,SG:LS:MC,SG:MS:MC,SG:HS:MC,SG:LS:HC,SG:MS:HC,SG:HS:HC,SG:VHS:LC,SG:VHS:MC,SG:VHS:HC
87.935,92.395,88.31,191.465,191.665,188.19,408.795,393.985,401.62,84.23,179.175,358.24
85.27,85.225,88.815,189.45,186.785,185.275,389,370.22,367.23,79.195,179.585,367.7
83.195,85.225,90.625,185.79,185.27,179.735,375.705,371.12,388.52,79.27,179.835,361.03
84.03,84.55,86.82,181.485,186.25,182.655,365.67,361.36,363.14,80.58,184.045,358.085
83.335,83.325,87.045,183.015,181.715,179.47,358.245,361.655,361.05,79.42,178.505,356.86
83.1,81.515,85.44,176.845,182.8,175.925,365.625,350.185,360.06,78.05,179.15,355.285
80.03,82.29,82.7,179.26,181.885,179.33,354.825,348.21,352.44,77.655,176.46,352.77
81.76,83.05,81.325,175.545,178.425,178.39,362.12,345.62,352.05,75.97,179.42,352.945
77.84,80.185,81.52,171.67,175.34,178.08,347.35,348.415,351.06,76.46,174.645,351.845
80.76,83.07,82.06,170.77,177.425,176.255,350.41,349.205,350.305,76.065,176.465,348.91
79.44,81.995,81.56,171.645,179.015,172.12,341.725,347.545,343.205,76.28,175.94,344.065
79.7,81.135,82.62,174.865,179.65,175.07,352.405,339.57,339.785,76.87,179.44,340.67
78.765,81.435,80.735,176.375,176.92,176.775,344.075,339.14,341.56,75.995,173.565,349.035
80.13,80.105,81.425,169.245,175.385,170.99,353.9,340.665,343.525,75.675,175.19,339.69
78.33,78.36,77.605,169.055,175.805,172.44,339.94,349.165,338.54,75.805,170.735,349.46
77.545,80.415,79.005,165.92,174.095,170.76,341.66,342.77,333.275,74.595,174.105,347.11
77.35,77.855,78.52,166.49,172.94,171.705,329.815,343.385,330.41,74.975,173.62,345.68
77.225,80.605,78.17,168.395,167.975,169.85,344.19,340.015,341.09,72.5,172.77,335.605
77.845,78.325,79.385,163.85,173.15,171.275,343.96,329.74,339.805,72.86,168.015,333.395
79.39,77.865,78.2,169.655,170.215,169.935,333.57,337.52,331.435,74.385,171.77,336.81
78.195,78.465,77.12,168.625,172.135,169.96,346.45,337.145,335.775,74.64,168.39,333.905
79.01,78.13,77.735,165.11,169.045,163.725,338.92,335.67,339.785,72.64,166.595,336.565
76.385,76.875,76.5,166.125,172.315,166.11,335.74,336.53,332.97,71.85,169.75,329.205
76.295,77.545,77.69,165.635,173.48,169.81,343.495,338.34,333.65,73.07,168.47,333.075
75.795,76.425,76.06,163.02,170.865,164.615,340.035,326.83,327.775,72.375,166.455,334.17
76.27,75.93,76.875,166.325,165.11,165.585,337.195,332.065,322.37,73.76,169.64,334.955
78.83,76.135,76.86,161.395,168.455,162.1,319.57,324.44,329.385,73.435,168.105,326.05
76.1,75.075,73.875,160.745,170.47,164.405,337.1,327.4,327.545,73.755,166.3,321.845
75.59,74.58,75.525,163.65,167.2,165.185,329.045,324.26,332.97,71.93,165.635,325.715
